1m;2m;3m;4m;5m;10m;15m;20m;25m;30m
0.00;0.00;2.94;0.00;0.00;0.00;0.00;20.58;24.98;29.86
0.00;0.00;2.94;0.00;0.00;0.00;0.00;20.87;25.01;29.91
0.00;0.00;2.94;0.00;0.00;0.00;0.00;20.91;25.01;29.85
0.00;0.00;2.94;0.00;0.00;0.00;0.00;20.90;25.07;29.87
0.00;0.00;2.94;0.00;0.00;0.00;0.00;20.91;24.99;29.88
0.00;0.00;2.94;0.00;0.00;0.00;0.00;20.64;25.01;29.87
0.00;0.00;2.94;0.00;0.00;0.00;0.00;0.00;25.03;29.86
0.00;0.00;2.94;0.00;0.00;0.00;0.00;0.00;24.99;29.91
0.00;0.00;2.94;0.00;0.00;0.00;0.00;0.00;25.00;29.85
0.00;0.00;2.94;0.00;0.00;0.00;0.00;0.00;25.01;29.84
0.00;0.00;2.94;0.00;0.00;0.00;0.00;0.00;25.02;29.88
0.00;0.00;2.94;0.00;0.00;0.00;0.00;0.00;25.01;29.89
0.00;0.00;2.94;0.00;0.00;0.00;0.00;0.00;24.99;29.83
0.00;0.00;2.94;0.00;0.00;0.00;0.00;0.00;25.00;29.88
0.00;0.00;2.94;0.00;0.00;0.00;0.00;0.00;25.00;29.90
0.00;0.00;2.94;0.00;0.00;0.00;0.00;0.00;24.98;29.85
0.00;0.00;2.94;0.00;0.00;0.00;0.00;0.00;25.00;29.86
0.00;0.00;2.94;0.00;0.00;0.00;0.00;0.00;25.01;29.90
0.00;0.00;2.94;0.00;0.00;0.00;0.00;0.00;25.00;29.91
0.00;0.00;2.94;0.00;0.00;0.00;0.00;0.00;24.98;29.89
0.00;0.00;2.94;0.00;0.00;0.00;0.00;0.00;25.04;29.87
0.00;0.00;2.94;0.00;0.00;0.00;0.00;0.00;25.04;29.88
0.00;0.00;2.95;0.00;0.00;0.00;0.00;0.00;25.03;29.88
0.00;0.00;2.95;0.00;0.00;0.00;0.00;0.00;25.01;29.88
0.00;0.00;2.95;0.00;0.00;0.00;0.00;0.00;25.04;29.88
0.00;0.00;2.95;0.00;0.00;0.00;0.00;0.00;25.03;29.85
0.00;0.00;2.95;0.00;0.00;0.00;0.00;0.00;25.03;29.86
0.00;0.00;2.95;0.00;0.00;0.00;0.00;0.00;24.99;29.88
0.00;0.00;2.95;0.00;0.00;0.00;0.00;0.00;25.05;29.87
0.00;0.00;2.95;0.00;0.00;0.00;0.00;0.00;25.02;29.89
0.00;0.00;2.95;0.00;0.00;0.00;0.00;0.00;25.03;29.92
0.00;0.00;2.95;0.00;0.00;0.00;0.00;0.00;25.03;29.84
0.00;0.00;2.95;0.00;0.00;0.00;0.00;0.00;25.00;29.88
0.00;0.00;2.95;0.00;0.00;0.00;0.00;0.00;25.03;29.89
0.00;0.00;2.95;0.00;0.00;0.00;0.00;0.00;25.01;29.84
0.00;0.00;2.95;0.00;0.00;0.00;0.00;0.00;25.03;29.86
0.00;0.00;2.95;0.00;0.00;0.00;0.00;0.00;24.99;29.88
0.00;0.00;2.95;0.00;0.00;0.00;0.00;0.00;24.99;29.86
0.00;0.00;2.95;0.00;0.00;0.00;0.00;0.00;25.03;29.85
0.00;0.00;2.95;0.00;0.00;0.00;0.00;0.00;24.97;29.93
0.00;0.00;2.95;0.00;0.00;0.00;0.00;0.00;25.05;29.86
0.00;0.00;2.95;0.00;0.00;0.00;0.00;0.00;25.06;29.85
0.00;0.00;2.95;0.00;0.00;0.00;0.00;0.00;24.99;29.86
0.00;0.00;2.95;0.00;0.00;0.00;0.00;0.00;24.98;29.87
0.00;0.00;2.95;0.00;0.00;0.00;0.00;0.00;25.04;29.89
0.00;0.00;2.95;0.00;0.00;0.00;0.00;0.00;25.05;29.88
0.00;0.00;2.95;0.00;0.00;0.00;0.00;0.00;25.00;29.89
0.00;0.00;2.95;0.00;0.00;0.00;0.00;0.00;25.02;29.87
0.00;0.00;2.95;0.00;0.00;0.00;0.00;0.00;24.97;29.85
